
[Log Startup at 11.09.37]
(Ver:-2.0.0.2)2025-07-07 11.09.37.666 (Info) SatoAppsInitialize  ::  Main - Initializing Application.......
(Ver:-2.0.0.2)2025-07-07 11.09.52.339 (Info) Lot Scanner Data::  - HA229861-2850|26|HA|0411241728BR8|0094
(Ver:-2.0.0.2)2025-07-07 11.09.57.591 (Info) Tray Scanner Data::  - 02-001
(Ver:-2.0.0.2)2025-07-07 11.09.57.591 (Info) Tray Scanner Data::  - 
(Ver:-2.0.0.2)2025-07-07 11.10.03.403 (Info) Tray Scanner Data::  - 02-001
(Ver:-2.0.0.2)2025-07-07 11.10.03.403 (Info) Tray Scanner Data::  - 
(Ver:-2.0.0.2)2025-07-07 11.10.03.506 (Info) Tray Scanner Data::  - 02-001
(Ver:-2.0.0.2)2025-07-07 11.10.03.507 (Info) Tray Scanner Data::  - 
(Ver:-2.0.0.2)2025-07-07 11.10.03.616 (Info) Tray Scanner Data::  - 02-001
(Ver:-2.0.0.2)2025-07-07 11.10.03.617 (Info) Tray Scanner Data::  - 
(Ver:-2.0.0.2)2025-07-07 11.10.30.413 (Info) Tray Scanner Data::  - 02-001
(Ver:-2.0.0.2)2025-07-07 11.10.30.414 (Info) Tray Scanner Data::  - 
(Ver:-2.0.0.2)2025-07-07 11.10.36.063 (Info) Tray Scanner Data::  - 02-001
(Ver:-2.0.0.2)2025-07-07 11.10.36.064 (Info) Tray Scanner Data::  - 
